,reward
0,-104.0
1,-58.0
2,-66.0
3,-85.2
4,-54.0
5,-70.8
6,-64.4
7,-88.4
8,-71.6
9,-68.0
10,-75.2
11,-65.2
12,-84.4
13,-66.4
14,-78.4
15,-40.666666666666664
16,48.0
17,-96.8
18,-66.8
19,-56.8
20,-89.6
21,-26.8
22,-55.2
23,-54.0
24,-76.8
25,-33.6
26,-84.0
27,-54.0
28,-76.0
29,-130.0
30,-75.2
31,-48.4
32,-59.2
33,-74.4
34,-71.2
35,-74.8
36,-94.0
37,-58.0
38,-80.4
39,-79.6
40,-96.0
41,-50.8
42,-65.2
43,-88.0
44,-66.8
45,-115.6
46,-70.8
47,-76.4
48,-84.8
49,-84.4
50,-81.2
51,-80.8
52,-80.0
53,-70.0
54,-88.0
55,-80.4
56,-96.8
57,-78.8
58,-105.2
59,-46.4
60,-56.4
61,-12.8
62,-45.2
63,-62.8
64,-62.8
65,-60.4
66,-90.4
67,-124.4
68,-50.8
69,-71.2
70,-71.6
71,-47.2
72,-91.6
73,-62.4
74,-84.0
75,-85.6
76,-54.8
77,-132.8
78,-116.0
79,-63.6
80,-84.0
81,-77.6
82,-66.0
83,-88.8
84,-36.0
85,-80.8
86,-89.6
87,-30.0
88,-80.0
89,-76.0
90,-26.0
91,-69.2
92,-80.4
93,-49.6
94,-99.2
95,-70.4
96,-76.8
97,-79.2
98,-103.6
99,-26.0
100,-93.2
101,-79.6
102,-51.6
103,-80.0
104,-51.6
105,-123.2
106,-56.8
107,-71.2
108,-56.4
109,-76.8
110,-106.4
111,-22.4
112,-90.0
113,-48.0
114,-38.0
115,-37.2
116,-90.0
117,-57.6
118,-56.8
119,-91.6
120,-65.2
121,-67.2
122,-95.6
123,-87.6
124,-90.0
125,-91.2
126,-90.0
127,-42.8
128,-63.6
129,-59.6
130,-86.4
131,-88.0
132,-86.0
133,-82.8
134,-54.4
135,-54.0
136,-72.4
137,-67.2
138,-55.2
139,-71.2
140,-64.0
141,-112.8
142,-80.8
143,-53.6
144,-118.0
145,-89.2
146,-46.8
147,-61.6
148,-89.2
149,-110.8
150,-62.4
151,-62.8
152,-80.4
153,-45.6
154,-81.2
155,-76.0
156,-88.0
157,-105.6
158,17.0
159,-100.4
160,-60.0
161,-120.0
162,-71.2
163,-123.2
164,-76.0
165,-75.6
166,-50.8
167,-88.4
168,-58.0
169,-54.0
170,-54.0
171,-85.6
172,-62.8
173,-61.2
174,-36.0
175,21.0
176,-54.0
177,-70.0
178,-110.4
179,-95.6
180,-63.6
181,-71.6
182,-53.6
183,-74.8
184,-58.4
185,-46.0
186,-80.0
187,-60.4
188,-67.2
189,-50.0
190,-79.2
191,-58.4
192,-46.8
193,-74.4
194,-30.8
195,-80.4
196,-96.0
197,-69.2
198,-54.8
199,-76.0
200,-82.0
201,-67.2
202,-75.6
203,-54.0
204,-32.0
205,-94.4
206,-140.0
207,-60.0
208,-55.2
209,-59.2
210,-54.0
211,-58.8
212,-137.2
213,-110.8
214,-121.2
215,-71.6
216,-108.0
217,-64.4
218,-53.6
219,-90.8
220,-71.6
221,-71.6
222,-96.8
223,-62.4
224,-90.8
225,-75.2
226,-58.4
227,-40.4
228,-44.8
229,-58.8
230,-53.6
231,-33.2
232,-110.8
233,-93.2
234,-71.6
235,-96.0
236,-86.8
237,-56.8
238,-79.6
239,-108.4
240,-79.2
241,-57.2
242,-66.8
243,-80.0
244,-71.6
245,-50.8
246,-54.0
247,-74.8
248,-38.0
249,12.4
250,-67.2
251,-62.4
252,-61.2
253,-38.8
254,-113.6
255,-83.6
256,-65.6
257,-112.8
258,-84.4
259,-89.2
260,-62.8
261,-81.6
262,-54.0
263,-78.0
264,-104.8
265,-86.8
266,-42.4
267,-94.8
268,-101.2
269,-100.8
270,-69.6
271,-68.0
272,-69.2
273,-78.4
274,-90.8
275,-77.2
276,-68.0
277,-45.2
278,-70.0
279,-70.0
280,-71.6
281,-72.0
282,-64.4
283,-70.8
284,-28.8
285,-96.4
286,-80.4
287,-62.8
288,-46.4
289,-81.2
290,-70.8
291,-108.4
292,-70.0
293,-58.4
294,-54.8
295,-87.2
296,-46.8
297,-44.8
298,-91.6
299,-67.2
300,-110.8
301,-64.0
302,-54.0
303,-16.0
304,-128.8
305,-67.2
306,-98.0
307,-67.2
308,-70.4
309,-27.2
310,-53.2
311,-162.4
312,-28.4
313,-75.2
314,-31.2
315,-52.4
316,-54.0
317,-60.4
318,-26.4
319,46.4
320,-48.4
321,-63.2
322,-62.8
323,-53.2
324,-90.4
325,-68.4
326,-108.8
327,-70.4
328,-62.8
329,-54.8
330,-89.2
331,-51.6
332,-54.0
333,-86.8
334,-56.8
335,-76.0
336,-84.8
337,-142.0
338,-110.8
339,-78.8
340,-60.4
341,-87.6
342,-133.6
343,-46.8
344,-44.8
345,-83.6
346,-54.0
347,-84.8
348,-71.6
349,-62.8
350,-50.8
351,-62.8
352,-84.0
353,-80.4
354,-66.8
355,-82.0
356,-76.0
357,-84.0
358,-54.0
359,-110.8
360,-82.8
361,-92.8
362,-80.4
363,-60.4
364,-48.8
365,-108.0
366,-60.0
367,-106.8
368,-66.8
369,-81.6
370,-89.2
371,-76.4
372,18.0
373,-109.6
374,-69.2
375,-54.4
376,-20.8
377,-28.0
378,-88.4
379,-53.2
380,-145.6
381,-70.4
382,-57.6
383,-54.0
384,-73.6
385,-57.6
386,-67.2
387,-32.4
388,-54.0
389,-81.2
390,-76.8
391,-82.8
392,-58.0
393,-45.2
394,-114.8
395,-71.2
396,-98.4
397,-91.2
398,-98.8
399,-59.6
400,-100.0
401,-80.8
402,-80.0
403,-76.4
404,-84.0
405,-65.6
406,-43.6
407,-83.6
408,-77.6
409,-76.0
410,-58.4
411,-84.4
412,-12.4
413,-95.2
414,-86.4
415,-95.6
416,-104.8
417,-112.8
418,-71.6
419,-62.4
420,-60.4
421,-48.0
422,-132.0
423,-66.4
424,-66.8
425,-81.2
426,-56.0
427,-84.8
428,-80.4
429,-66.8
430,-93.6
431,-36.4
432,-75.6
433,-65.2
434,-58.0
435,-43.6
436,-155.6
437,-110.4
438,-62.0
439,-126.8
440,-60.4
441,-81.2
442,-53.6
443,-88.0
444,-56.4
445,-67.2
446,-79.2
447,-60.4
448,6.4
449,-67.2
450,-66.8
451,-71.2
452,-94.4
453,-66.8
454,-54.0
455,-98.0
456,-62.8
457,-54.0
458,-69.6
459,-66.8
460,-62.8
461,-56.0
462,-62.4
463,-96.8
464,-134.4
465,-75.6
466,-54.0
467,-72.8
468,-138.0
469,-24.4
470,-55.2
471,-108.4
472,-54.0
473,-80.0
474,-72.0
475,-63.2
476,-32.8
477,-102.0
478,-164.0
479,-70.8
480,-110.0
481,-89.6
482,-123.2
483,-64.8
484,-94.0
485,-72.4
486,-47.2
487,-81.2
488,-97.2
489,-62.8
490,-46.0
491,-62.8
492,-72.8
493,-28.8
494,-118.8
495,-58.8
496,-60.4
497,-80.4
498,-107.6
499,-76.8
500,-95.2
501,-117.6
502,-53.6
503,-66.8
504,-67.2
505,-80.4
506,-140.4
507,-59.2
508,-75.2
509,-62.4
510,-81.6
511,-76.0
512,-76.0
513,-123.2
514,-76.0
515,-74.8
516,-57.6
517,-74.8
518,-94.8
519,-74.0
520,-75.6
521,-57.6
522,-80.0
523,-59.2
524,-80.4
525,-46.4
526,-60.0
527,-54.8
528,-40.4
529,-55.6
530,-78.4
531,-88.0
532,-69.6
533,-67.2
534,-45.6
535,-68.8
536,-68.8
537,-96.4
538,-18.0
539,-71.6
540,-140.0
541,-94.8
542,-67.2
543,-35.2
544,-93.2
545,-60.8
546,-71.2
547,-76.0
548,-54.0
549,-108.8
550,-54.0
551,-54.4
552,-121.2
553,-71.6
554,-69.6
555,-89.2
556,-58.4
557,-64.0
558,12.4
559,-89.2
560,-54.0
561,-100.8
562,-102.8
563,-84.8
564,-44.0
565,-56.8
566,-60.0
567,-64.0
568,-111.2
569,-48.0
570,-53.2
571,-76.0
572,-71.2
573,-86.0
574,-93.6
575,-88.8
576,-97.2
577,-78.0
578,-57.6
579,-62.4
580,-12.0
581,-58.0
582,-93.6
583,-100.0
584,-70.4
585,-66.8
586,-47.6
587,-97.2
588,-122.8
589,-70.0
590,-74.4
591,-68.0
592,-76.0
593,-93.2
594,-50.8
595,-74.8
596,-89.6
597,-49.2
598,-88.0
599,-69.2
600,-102.4
601,-74.8
602,-58.0
603,-75.6
604,-85.2
605,-54.8
606,-75.2
607,-70.4
608,-104.4
609,-55.6
610,-50.0
611,-26.0
612,-48.0
613,-78.0
614,-86.0
615,-33.2
616,-53.2
617,-32.8
618,-72.0
619,-80.4
620,-62.8
621,-48.8
622,-68.4
623,-64.8
624,-76.0
625,-71.2
626,-89.6
627,-125.6
628,-62.8
629,-28.8
630,-104.0
631,-80.8
632,-60.0
633,-8.0
634,-82.8
635,-88.4
636,-71.2
637,-82.8
638,-83.6
639,-71.6
640,-60.8
641,-93.2
642,-39.2
643,-93.6
644,-67.2
645,-70.8
646,-96.8
647,-88.0
648,-71.6
649,-67.2
650,-66.8
651,-130.8
652,-58.0
653,-71.6
654,-103.2
655,-62.8
656,-88.8
657,-55.6
658,-67.2
659,-60.0
660,-54.0
661,-14.0
662,-64.8
663,-58.4
664,-70.4
665,-76.0
666,-73.2
667,-89.2
668,-70.0
669,-63.2
670,-90.0
671,-40.4
672,-64.0
673,-65.2
674,-58.4
675,-58.0
676,-62.4
677,-86.8
678,-71.6
679,-76.8
680,-82.0
681,-66.4
682,-96.0
683,-80.4
684,-79.2
685,-28.8
686,-56.8
687,-71.6
688,-139.2
689,-69.6
690,-77.2
691,-76.0
692,-86.0
693,-70.4
694,-57.6
695,-89.2
696,-31.2
697,-136.4
698,-60.8
699,-80.8
700,-66.8
701,-70.4
702,-82.8
703,-93.6
704,-68.0
705,-71.6
706,-59.2
707,-73.6
708,-67.2
709,-108.4
710,-59.2
711,-129.2
712,-41.2
713,-48.4
714,-87.2
715,-50.0
716,-38.0
717,-76.0
718,-52.8
719,-68.8
720,-75.6
721,-19.6
722,-93.2
723,-79.2
724,-71.2
725,-84.0
726,-54.8
727,-50.8
728,-120.4
729,-110.0
730,-62.4
731,-29.2
732,-36.8
733,-64.4
734,-71.6
735,-66.8
736,-57.6
737,-45.6
738,-46.4
739,-24.8
740,-107.2
741,-66.8
742,-84.0
743,-54.0
744,-14.0
745,-77.2
746,-46.8
747,-33.6
748,-86.0
749,-67.2
750,-61.2
751,-103.2
752,-100.8
753,-71.6
754,-42.8
755,-58.4
756,-71.6
757,-75.2
758,-112.0
759,-72.4
760,-90.4
761,-62.0
762,-66.8
763,-62.8
764,-74.0
765,-87.6
766,-41.6
767,-53.6
768,-66.0
769,-60.0
770,-63.2
771,-28.0
772,-4.0
773,-141.6
774,-45.6
775,-61.6
776,-82.8
777,-57.2
778,-76.0
779,-37.2
780,-110.0
781,-54.0
782,-59.6
783,-43.2
784,50.666666666666664
785,-96.0
786,-71.6
787,-94.8
788,-96.8
789,-92.4
790,-76.0
791,-45.2
792,-83.6
793,-55.6
794,-73.6
795,-48.4
796,-54.0
797,-34.0
798,-124.0
799,-64.0
800,-89.2
801,-87.2
802,-42.4
803,-54.0
804,-105.2
805,-56.4
806,-110.4
807,-67.2
808,-130.4
809,-108.0
810,-85.2
811,-118.0
812,-114.4
813,-56.0
814,-76.0
815,-53.2
816,-96.0
817,-80.4
818,-119.6
819,-96.8
820,-107.2
821,-102.0
822,-79.6
823,-69.2
824,-89.6
825,-76.4
826,-54.0
827,-61.2
828,-84.8
829,-71.6
830,-54.4
831,-62.4
832,-60.4
833,-142.8
834,-88.8
835,-88.0
836,-67.2
837,-80.4
838,-74.4
839,-96.8
840,-23.2
841,-76.0
842,-43.2
843,-53.6
844,-125.6
845,-60.4
846,-72.0
847,-60.4
848,-96.0
849,-61.6
850,-81.2
851,-101.6
852,-93.2
853,-54.8
854,-56.8
855,-84.8
856,-84.0
857,-74.0
858,-50.8
859,-86.4
860,-45.6
861,-184.4
862,-142.4
863,-43.2
864,-67.2
865,-90.0
866,-67.2
867,-71.6
868,-38.8
869,-44.8
870,-100.4
871,-76.4
872,-58.4
873,-108.4
874,-83.6
875,-57.6
876,-50.4
877,-76.0
878,-65.6
879,-80.0
880,-72.4
881,-0.4
882,-117.2
883,0.0
884,-69.2
885,-18.0
886,-52.4
887,-120.4
888,-58.8
889,-57.6
890,-81.2
891,-70.4
892,-80.0
893,-77.2
894,-129.2
895,-104.0
896,-65.6
897,-80.4
898,-92.4
899,-84.4
900,-47.6
901,-71.6
902,-70.4
903,-51.2
904,-53.6
905,-80.4
906,-108.4
907,-43.6
908,-63.2
909,-84.8
910,-54.8
911,-88.8
912,-67.2
913,-76.8
914,-79.2
915,-80.4
916,-39.6
917,-59.6
918,-50.8
919,-50.0
920,-62.8
921,-46.8
922,-76.0
923,-76.4
924,-40.4
925,-61.6
926,-113.2
927,-75.6
928,-42.4
929,-100.4
930,-66.8
931,-22.4
932,-93.2
933,-74.0
934,-76.0
935,-58.8
936,-75.6
937,-82.8
938,-69.6
939,-109.2
940,-77.6
941,-58.4
942,-103.2
943,-89.2
944,-71.6
945,-43.2
946,-98.0
947,-58.4
948,-84.8
949,-62.8
950,-53.6
951,-81.6
952,-41.2
953,-62.8
954,-46.4
955,-84.8
956,-28.0
957,-49.6
958,-51.2
959,-73.6
960,-28.8
961,-80.4
962,-55.2
963,-81.6
964,-89.2
965,-72.4
966,-52.4
967,-64.0
968,-33.2
969,4.4
970,-98.8
971,-66.8
972,-87.2
973,-10.8
974,-67.2
975,-53.6
976,-71.6
977,-64.4
978,-86.0
979,-80.4
980,-90.0
981,-80.0
982,-42.4
983,-87.2
984,-39.2
985,-62.8
986,-91.2
987,-54.8
988,-80.0
989,-21.2
990,-90.8
991,-53.2
992,-88.0
993,-72.0
994,-38.8
995,-84.8
996,-84.4
997,-24.8
998,-88.4
999,-135.2
1000,-43.2
1001,-53.6
1002,-54.0
1003,-80.4
1004,-47.2
1005,-71.6
1006,-57.2
1007,-94.4
1008,-80.8
1009,-74.0
1010,-74.4
1011,-53.2
1012,-53.2
1013,-96.8
1014,-73.6
1015,-71.6
1016,-59.2
1017,-80.0
1018,-53.6
1019,-43.2
1020,-84.8
1021,-66.8
1022,-76.0
1023,-53.6
1024,-58.0
1025,-108.4
1026,-62.4
1027,-72.8
1028,-88.0
1029,-95.6
1030,-61.6
1031,-78.0
1032,-62.8
1033,-54.0
1034,-14.4
1035,-62.8
1036,-98.4
1037,-51.6
1038,-74.8
1039,-115.2
1040,-68.0
1041,-105.6
1042,-60.0
1043,-82.0
1044,-116.0
1045,-70.8
1046,-121.2
1047,-71.2
1048,-49.6
1049,-55.6
1050,-41.6
1051,-90.0
1052,-103.2
1053,-62.8
1054,-71.2
1055,-58.4
1056,-54.0
1057,-96.0
1058,-46.0
1059,-18.8
1060,-66.8
1061,-53.6
1062,-91.6
1063,-60.0
1064,-60.8
1065,-71.2
1066,-41.6
1067,-59.2
1068,-76.0
1069,-72.8
1070,-142.0
1071,-35.2
1072,-82.8
1073,-58.4
1074,-74.0
1075,-63.6
1076,-58.0
1077,-80.0
1078,-66.0
1079,-53.2
1080,-46.0
1081,-48.4
1082,-62.0
1083,-59.2
1084,-64.8
1085,-65.2
1086,-52.8
1087,-67.2
1088,-89.2
1089,-94.8
1090,-89.2
1091,-56.0
1092,-70.8
1093,-50.4
1094,-93.6
1095,-42.0
1096,-28.0
1097,-61.6
1098,-28.4
